tipo,f1,f2
nsga2,0.688278,0.998121
nsga2,0.723279,0.994087
nsga2,0.688278,0.998121
nsga2,0.723279,0.994087
nsga2,0.717723,0.995369
nsga2,0.717812,0.994958
nsga2,0.716612,0.995671
nsga2,0.722168,0.994376
nsga2,0.716701,0.995458
nsga2,0.722256,0.994164
nsga2,0.721057,0.994633
nsga2,0.715501,0.995941
nsga2,0.715589,0.995762
nsga2,0.721145,0.994456
nsga2,0.690870,0.998092
nsga2,0.689389,0.998103
nsga2,0.709807,0.996662
nsga2,0.691981,0.998080
nsga2,0.690870,0.998092
nsga2,0.713279,0.996203
nsga2,0.718835,0.994871
nsga2,0.696747,0.997856
nsga2,0.695593,0.997927
nsga2,0.700080,0.997606
nsga2,0.704247,0.997210
nsga2,0.710759,0.996526
nsga2,0.719787,0.994753
nsga2,0.701839,0.997419
nsga2,0.712538,0.996290
nsga2,0.702796,0.997346
nsga2,0.702369,0.997354
nsga2,0.705358,0.997115
nsga2,0.715872,0.995752
nsga2,0.716119,0.995713
nsga2,0.704776,0.997148
nsga2,0.716983,0.995449
nsga2,0.695361,0.997962
nsga2,0.705887,0.997054
nsga2,0.718341,0.994910
nsga2,0.697164,0.997801
nsga2,0.720316,0.994708
nsga2,0.696052,0.997912
nsga2,0.694281,0.998017
nsga2,0.697395,0.997767
nsga2,0.696813,0.997807
nsga2,0.694972,0.997965
nsga2,0.712816,0.996210
nsga2,0.701191,0.997505
nsga2,0.702302,0.997402
nsga2,0.703599,0.997290
nsga2,0.713768,0.996081
nsga2,0.704710,0.997196
nsga2,0.705821,0.997101
nsga2,0.705204,0.997143
nsga2,0.712029,0.996383
nsga2,0.708043,0.996861
nsga2,0.710265,0.996574
nsga2,0.716149,0.995674
nsga2,0.704015,0.997241
nsga2,0.692475,0.998067
nsga2,0.717261,0.995371
nsga2,0.701257,0.997456
nsga2,0.708109,0.996814
nsga2,0.703665,0.997242
nsga2,0.710332,0.996527
nsga2,0.699617,0.997625
nsga2,0.693787,0.998028
nsga2,0.710265,0.996574
nsga2,0.700728,0.997522
nsga2,0.720563,0.994671
nsga2,0.706315,0.997049
nsga2,0.721674,0.994412
nsga2,0.708537,0.996811
nsga2,0.707122,0.996906
nsga2,0.722538,0.994158
nsga2,0.709344,0.996671
nsga2,0.711566,0.996390
nsga2,0.715038,0.995945
nsga2,0.718372,0.994872
nsga2,0.719324,0.994753
nsga2,0.703136,0.997305
nsga2,0.713738,0.996119
nsga2,0.719293,0.994792
nsga2,0.698926,0.997670
nsga2,0.700146,0.997558
nsga2,0.713738,0.996119
nsga2,0.688772,0.998105
nsga2,0.707585,0.996894
nsga2,0.719293,0.994792
nsga2,0.689389,0.998103
nsga2,0.698694,0.997703
nsga2,0.702981,0.997310
nsga2,0.699386,0.997658
nsga2,0.700497,0.997555
nsga2,0.701685,0.997448
nsga2,0.694404,0.997995
nsga2,0.706562,0.997005
nsga2,0.706844,0.996989
nsga2,0.708784,0.996768
nsga2,0.709066,0.996753
nsga2,0.711006,0.996484
nsga2,0.693170,0.998050
nsga2,0.711288,0.996471
nsga2,0.697614,0.997751
nsga2,0.698306,0.997704
nsga2,0.714761,0.996024
nsga2,0.712044,0.996336
nsga2,0.718094,0.994949
nsga2,0.714231,0.996075
nsga2,0.720034,0.994716
nsga2,0.691981,0.998080
nsga2,0.721427,0.994449
nsga2,0.714267,0.996067
nsga2,0.707091,0.996945
nsga2,0.709313,0.996710
nsga2,0.711535,0.996429
nsga2,0.712785,0.996249
nsga2,0.715007,0.995984
nsga2,0.717230,0.995410
nsga2,0.694744,0.997993
nsga2,0.712256,0.996302
nsga2,0.720563,0.994671
nsga2,0.714478,0.996035
nsga2,0.721674,0.994412
nsga2,0.707585,0.996894
nsga2,0.722785,0.994122
nsga2,0.698231,0.997723
nsga2,0.709807,0.996662
nsga2,0.692676,0.998062
nsga2,0.696284,0.997878
nsga2,0.698772,0.997676
nsga2,0.693170,0.998050
nsga2,0.699463,0.997631
nsga2,0.688772,0.998105
nsga2,0.713279,0.996203
nsga2,0.700574,0.997528
nsga2,0.718835,0.994871
nsga2,0.693586,0.998033
nsga2,0.697858,0.997746
nsga2,0.707091,0.996945
nsga2,0.721057,0.994633
nsga2,0.697858,0.997746
nsga2,0.709313,0.996710
nsga2,0.722168,0.994376
nsga2,0.711535,0.996429
nsga2,0.696130,0.997885
nsga2,0.712785,0.996249
nsga2,0.706844,0.996989
nsga2,0.706562,0.997005
nsga2,0.715007,0.995984
greedy,0.737958,0.947800
