instancia,config,hv_mean,hv_std,domina_greedy_pct,n_runs
mediana,C25,0.00504023,0.00069581,60.0,5
mediana,C20,0.00491394,0.00098641,20.0,5
mediana,C24,0.00472895,0.00071065,20.0,5
mediana,C22,0.00469440,0.00064133,20.0,5
mediana,C23,0.00465786,0.00056218,40.0,5
mediana,C26,0.00453824,0.00023628,0.0,5
mediana,C15,0.00438151,0.00111063,40.0,5
mediana,C13,0.00429804,0.00071482,40.0,5
mediana,C19,0.00428839,0.00104921,20.0,5
mediana,C21,0.00421413,0.00104185,60.0,5
mediana,C17,0.00416991,0.00082459,20.0,5
mediana,C5,0.00411750,0.00110016,40.0,5
mediana,C12,0.00409682,0.00092159,20.0,5
mediana,C10,0.00408386,0.00074054,20.0,5
mediana,C3,0.00405219,0.00042147,0.0,5
mediana,C14,0.00403772,0.00107059,20.0,5
mediana,C8,0.00401434,0.00083856,40.0,5
mediana,C6,0.00398908,0.00022989,0.0,5
mediana,C16,0.00389370,0.00091565,20.0,5
mediana,C9,0.00387409,0.00078330,20.0,5
mediana,C7,0.00372046,0.00055216,0.0,5
mediana,C4,0.00369763,0.00081245,0.0,5
mediana,C11,0.00360648,0.00064453,0.0,5
mediana,C1,0.00360556,0.00054505,0.0,5
mediana,C18,0.00359779,0.00097638,0.0,5
mediana,C0,0.00303214,0.00086279,0.0,5
mediana,C2,0.00288216,0.00106672,0.0,5
