tipo,f1,f2
nsga2,0.682168,0.997382
nsga2,0.713025,0.993087
nsga2,0.682168,0.997382
nsga2,0.713025,0.993087
nsga2,0.706821,0.994817
nsga2,0.709837,0.993897
nsga2,0.706133,0.994847
nsga2,0.710525,0.993873
nsga2,0.704004,0.995304
nsga2,0.703633,0.995490
nsga2,0.683173,0.997363
nsga2,0.684655,0.997351
nsga2,0.706080,0.995002
nsga2,0.712284,0.993262
nsga2,0.706874,0.994663
nsga2,0.709784,0.994052
nsga2,0.710578,0.993719
nsga2,0.711967,0.993271
nsga2,0.711914,0.993426
nsga2,0.707469,0.994541
nsga2,0.707932,0.994468
nsga2,0.711173,0.993602
nsga2,0.711636,0.993532
nsga2,0.686260,0.997238
nsga2,0.689963,0.996936
nsga2,0.707192,0.994650
nsga2,0.686083,0.997298
nsga2,0.703263,0.995492
nsga2,0.710895,0.993708
nsga2,0.705062,0.995102
nsga2,0.692874,0.996722
nsga2,0.702575,0.995592
nsga2,0.705022,0.995201
nsga2,0.699395,0.995912
nsga2,0.708726,0.994243
nsga2,0.709136,0.994147
nsga2,0.708726,0.994243
nsga2,0.709136,0.994147
nsga2,0.699242,0.996004
nsga2,0.698654,0.996066
nsga2,0.705432,0.995102
nsga2,0.688799,0.997015
nsga2,0.701987,0.995650
nsga2,0.708210,0.994359
nsga2,0.704692,0.995288
nsga2,0.705763,0.995015
nsga2,0.694672,0.996483
nsga2,0.696061,0.996346
nsga2,0.709467,0.994063
nsga2,0.698284,0.996072
nsga2,0.697020,0.996273
nsga2,0.701617,0.995653
nsga2,0.687318,0.997204
nsga2,0.691022,0.996910
nsga2,0.693469,0.996639
nsga2,0.697265,0.996196
nsga2,0.700598,0.995771
nsga2,0.711914,0.993426
nsga2,0.688707,0.997046
nsga2,0.700300,0.995895
nsga2,0.712284,0.993262
nsga2,0.707932,0.994468
nsga2,0.707469,0.994541
nsga2,0.685025,0.997335
nsga2,0.704374,0.995303
nsga2,0.685713,0.997313
nsga2,0.689787,0.996995
nsga2,0.708395,0.994328
nsga2,0.702575,0.995592
nsga2,0.686948,0.997218
nsga2,0.692411,0.996762
nsga2,0.711636,0.993532
nsga2,0.711173,0.993602
nsga2,0.687565,0.997106
nsga2,0.690651,0.996921
nsga2,0.696432,0.996338
nsga2,0.682803,0.997381
nsga2,0.693028,0.996657
nsga2,0.691269,0.996814
nsga2,0.693614,0.996604
nsga2,0.689417,0.997007
nsga2,0.703263,0.995492
nsga2,0.687935,0.997092
nsga2,0.695908,0.996394
nsga2,0.691639,0.996803
nsga2,0.694262,0.996580
nsga2,0.705022,0.995201
nsga2,0.697543,0.996183
nsga2,0.698078,0.996160
nsga2,0.698911,0.996021
nsga2,0.701411,0.995740
nsga2,0.702244,0.995606
nsga2,0.700876,0.995760
nsga2,0.695374,0.996455
nsga2,0.695578,0.996413
nsga2,0.694520,0.996532
nsga2,0.688059,0.997077
nsga2,0.700353,0.995846
nsga2,0.700353,0.995846
nsga2,0.692503,0.996732
nsga2,0.691762,0.996789
nsga2,0.687472,0.997136
nsga2,0.691176,0.996844
nsga2,0.708395,0.994328
nsga2,0.685713,0.997313
nsga2,0.685025,0.997335
nsga2,0.686948,0.997218
nsga2,0.695043,0.996475
nsga2,0.708210,0.994359
nsga2,0.694520,0.996532
nsga2,0.697707,0.996166
nsga2,0.696485,0.996298
nsga2,0.688376,0.997069
nsga2,0.701041,0.995743
nsga2,0.690651,0.996921
nsga2,0.692080,0.996783
nsga2,0.693932,0.996600
nsga2,0.684655,0.997351
nsga2,0.683173,0.997363
nsga2,0.698131,0.996120
nsga2,0.701464,0.995700
nsga2,0.704692,0.995288
nsga2,0.693098,0.996648
nsga2,0.705763,0.995015
nsga2,0.689417,0.997007
nsga2,0.699930,0.995900
nsga2,0.699765,0.995907
nsga2,0.709467,0.994063
nsga2,0.694262,0.996580
nsga2,0.698131,0.996120
nsga2,0.695043,0.996475
nsga2,0.701464,0.995700
nsga2,0.688376,0.997069
nsga2,0.703633,0.995490
nsga2,0.704004,0.995304
nsga2,0.682803,0.997381
nsga2,0.698911,0.996021
nsga2,0.696689,0.996292
nsga2,0.697020,0.996273
nsga2,0.687472,0.997136
nsga2,0.707192,0.994650
nsga2,0.691176,0.996844
nsga2,0.692080,0.996783
nsga2,0.702244,0.995606
nsga2,0.693932,0.996600
nsga2,0.710895,0.993708
nsga2,0.695374,0.996455
nsga2,0.695578,0.996413
nsga2,0.697265,0.996196
nsga2,0.696689,0.996292
greedy,0.737958,0.947800
