tipo,f1,f2
nsga2,0.681221,0.995683
nsga2,0.732492,0.986473
nsga2,0.681221,0.995683
nsga2,0.732492,0.986473
nsga2,0.731182,0.987089
nsga2,0.721576,0.990030
nsga2,0.721553,0.990149
nsga2,0.717617,0.991008
nsga2,0.714358,0.991686
nsga2,0.729158,0.987834
nsga2,0.731658,0.986854
nsga2,0.728274,0.988199
nsga2,0.709360,0.992572
nsga2,0.722410,0.989949
nsga2,0.730254,0.987423
nsga2,0.731420,0.986937
nsga2,0.716843,0.991097
nsga2,0.732084,0.986596
nsga2,0.722768,0.989776
nsga2,0.705477,0.993306
nsga2,0.685840,0.995440
nsga2,0.682735,0.995620
nsga2,0.723458,0.989650
nsga2,0.695673,0.994603
nsga2,0.710719,0.992389
nsga2,0.704545,0.993410
nsga2,0.688908,0.995252
nsga2,0.725783,0.988948
nsga2,0.704537,0.993430
nsga2,0.724271,0.989271
nsga2,0.703025,0.993697
nsga2,0.727084,0.988596
nsga2,0.703787,0.993558
nsga2,0.728682,0.988072
nsga2,0.691955,0.995001
nsga2,0.689220,0.995180
nsga2,0.715169,0.991481
nsga2,0.689826,0.995145
nsga2,0.693505,0.994792
nsga2,0.697928,0.994364
nsga2,0.703787,0.993558
nsga2,0.716263,0.991255
nsga2,0.716839,0.991188
nsga2,0.687643,0.995348
nsga2,0.692616,0.994902
nsga2,0.712127,0.992030
nsga2,0.728866,0.987871
nsga2,0.712732,0.991925
nsga2,0.713672,0.991758
nsga2,0.711671,0.992200
nsga2,0.721022,0.990283
nsga2,0.710719,0.992389
nsga2,0.706191,0.993156
nsga2,0.699332,0.994075
nsga2,0.694384,0.994748
nsga2,0.686503,0.995407
nsga2,0.701977,0.993852
nsga2,0.719379,0.990656
nsga2,0.705477,0.993306
nsga2,0.720196,0.990470
nsga2,0.692616,0.994902
nsga2,0.713311,0.991883
nsga2,0.699324,0.994186
nsga2,0.729703,0.987682
nsga2,0.698677,0.994254
nsga2,0.707938,0.992806
nsga2,0.709794,0.992534
nsga2,0.729703,0.987682
nsga2,0.690983,0.995050
nsga2,0.702238,0.993774
nsga2,0.697928,0.994364
nsga2,0.724822,0.989267
nsga2,0.685031,0.995451
nsga2,0.703025,0.993697
nsga2,0.721022,0.990283
nsga2,0.730111,0.987556
nsga2,0.711255,0.992258
nsga2,0.693505,0.994792
nsga2,0.709794,0.992534
nsga2,0.698677,0.994254
nsga2,0.694914,0.994667
nsga2,0.726434,0.988784
nsga2,0.727529,0.988366
nsga2,0.694922,0.994642
nsga2,0.719379,0.990656
nsga2,0.700357,0.994056
nsga2,0.716125,0.991323
nsga2,0.683524,0.995593
nsga2,0.706191,0.993156
nsga2,0.725363,0.989047
nsga2,0.684956,0.995522
nsga2,0.714644,0.991590
nsga2,0.708791,0.992685
nsga2,0.723958,0.989503
nsga2,0.706846,0.993031
nsga2,0.730849,0.987192
nsga2,0.730587,0.987320
nsga2,0.723125,0.989758
nsga2,0.701105,0.993949
nsga2,0.697055,0.994447
nsga2,0.695986,0.994535
nsga2,0.720410,0.990398
nsga2,0.701105,0.993949
nsga2,0.690983,0.995050
nsga2,0.719879,0.990532
nsga2,0.690254,0.995097
nsga2,0.715410,0.991458
nsga2,0.727863,0.988262
nsga2,0.686503,0.995407
nsga2,0.718768,0.990764
nsga2,0.712624,0.992012
nsga2,0.688230,0.995293
nsga2,0.732016,0.986708
nsga2,0.684283,0.995540
nsga2,0.718387,0.990785
nsga2,0.725051,0.989144
nsga2,0.700606,0.993974
nsga2,0.696245,0.994520
nsga2,0.682167,0.995650
nsga2,0.691955,0.995001
nsga2,0.723127,0.989654
nsga2,0.696483,0.994456
nsga2,0.697055,0.994447
nsga2,0.687643,0.995348
nsga2,0.727529,0.988366
nsga2,0.726101,0.988890
nsga2,0.683524,0.995593
nsga2,0.708366,0.992720
nsga2,0.718268,0.990889
nsga2,0.727200,0.988506
nsga2,0.714644,0.991590
nsga2,0.716125,0.991323
nsga2,0.681400,0.995661
nsga2,0.728682,0.988072
nsga2,0.732016,0.986708
nsga2,0.723958,0.989503
nsga2,0.711255,0.992258
nsga2,0.684283,0.995540
nsga2,0.707866,0.992855
nsga2,0.720410,0.990398
nsga2,0.719879,0.990532
nsga2,0.715410,0.991458
nsga2,0.706694,0.993092
nsga2,0.730111,0.987556
nsga2,0.730587,0.987320
nsga2,0.724873,0.989149
nsga2,0.730849,0.987192
nsga2,0.727200,0.988506
nsga2,0.726750,0.988701
nsga2,0.688230,0.995293
greedy,0.698018,0.941222
