tipo,f1,f2
nsga2,0.694174,0.997778
nsga2,0.734968,0.992560
nsga2,0.734968,0.992560
nsga2,0.694174,0.997778
nsga2,0.730801,0.994038
nsga2,0.730999,0.993094
nsga2,0.726171,0.995149
nsga2,0.726410,0.994612
nsga2,0.698526,0.997743
nsga2,0.696226,0.997761
nsga2,0.696475,0.997750
nsga2,0.725537,0.995320
nsga2,0.730166,0.994202
nsga2,0.734333,0.992719
nsga2,0.732111,0.992996
nsga2,0.726171,0.995149
nsga2,0.730801,0.994038
nsga2,0.723314,0.995636
nsga2,0.727944,0.994497
nsga2,0.721462,0.995827
nsga2,0.723685,0.995502
nsga2,0.699637,0.997720
nsga2,0.722891,0.995646
nsga2,0.728314,0.994368
nsga2,0.709240,0.996942
nsga2,0.732481,0.992869
nsga2,0.727521,0.994503
nsga2,0.732746,0.992834
nsga2,0.704320,0.997376
nsga2,0.698526,0.997743
nsga2,0.725537,0.995320
nsga2,0.719981,0.995886
nsga2,0.700563,0.997697
nsga2,0.721039,0.995838
nsga2,0.701304,0.997592
nsga2,0.702785,0.997565
nsga2,0.730166,0.994202
nsga2,0.699637,0.997720
nsga2,0.724796,0.995387
nsga2,0.729425,0.994263
nsga2,0.734333,0.992719
nsga2,0.733592,0.992773
nsga2,0.712785,0.996554
nsga2,0.700986,0.997667
nsga2,0.703208,0.997538
nsga2,0.703526,0.997464
nsga2,0.701859,0.997584
nsga2,0.705748,0.997258
nsga2,0.705431,0.997330
nsga2,0.711462,0.996671
nsga2,0.710669,0.996725
nsga2,0.712574,0.996619
nsga2,0.717335,0.996143
nsga2,0.717018,0.996208
nsga2,0.709981,0.996851
nsga2,0.719558,0.995899
nsga2,0.703949,0.997438
nsga2,0.721780,0.995765
nsga2,0.724796,0.995387
nsga2,0.706171,0.997233
nsga2,0.709505,0.996889
nsga2,0.705007,0.997355
nsga2,0.719240,0.995962
nsga2,0.731687,0.992998
nsga2,0.722574,0.995707
nsga2,0.707018,0.997132
nsga2,0.714425,0.996416
nsga2,0.713685,0.996501
nsga2,0.729425,0.994263
nsga2,0.713949,0.996440
nsga2,0.724425,0.995433
nsga2,0.712150,0.996638
nsga2,0.715113,0.996297
nsga2,0.727203,0.994561
nsga2,0.729055,0.994305
nsga2,0.716595,0.996223
nsga2,0.731370,0.993053
nsga2,0.722203,0.995754
nsga2,0.721039,0.995838
nsga2,0.719981,0.995886
nsga2,0.733592,0.992773
nsga2,0.707335,0.997061
nsga2,0.723949,0.995462
nsga2,0.715907,0.996227
nsga2,0.733222,0.992813
nsga2,0.713314,0.996533
nsga2,0.726833,0.994606
nsga2,0.728579,0.994330
nsga2,0.707759,0.997038
nsga2,0.708341,0.997003
nsga2,0.718129,0.996090
nsga2,0.715537,0.996280
nsga2,0.717759,0.996128
nsga2,0.710351,0.996794
nsga2,0.701859,0.997584
nsga2,0.708341,0.997003
nsga2,0.707759,0.997038
nsga2,0.722574,0.995707
nsga2,0.711092,0.996704
nsga2,0.714796,0.996363
nsga2,0.723685,0.995502
nsga2,0.712150,0.996638
nsga2,0.709981,0.996851
nsga2,0.727203,0.994561
nsga2,0.728314,0.994368
nsga2,0.714796,0.996363
nsga2,0.732481,0.992869
nsga2,0.718447,0.996013
nsga2,0.731370,0.993053
nsga2,0.711462,0.996671
nsga2,0.719240,0.995962
nsga2,0.700563,0.997697
nsga2,0.710351,0.996794
nsga2,0.724425,0.995433
nsga2,0.705007,0.997355
nsga2,0.703949,0.997438
nsga2,0.702785,0.997565
nsga2,0.710616,0.996764
nsga2,0.718129,0.996090
nsga2,0.706171,0.997233
nsga2,0.729055,0.994305
nsga2,0.709505,0.996889
nsga2,0.706595,0.997156
nsga2,0.708817,0.996964
nsga2,0.708764,0.996981
nsga2,0.700986,0.997667
nsga2,0.713314,0.996533
nsga2,0.733222,0.992813
nsga2,0.703208,0.997538
nsga2,0.718870,0.996012
nsga2,0.704320,0.997376
nsga2,0.711092,0.996704
nsga2,0.703526,0.997464
nsga2,0.706542,0.997173
nsga2,0.730999,0.993094
nsga2,0.705431,0.997330
nsga2,0.713685,0.996501
nsga2,0.705748,0.997258
nsga2,0.714425,0.996416
nsga2,0.706542,0.997173
nsga2,0.715537,0.996280
nsga2,0.723949,0.995462
nsga2,0.715060,0.996325
nsga2,0.718394,0.996042
nsga2,0.717759,0.996128
nsga2,0.707283,0.997078
nsga2,0.714002,0.996434
nsga2,0.718870,0.996000
nsga2,0.715907,0.996240
nsga2,0.728579,0.994330
greedy,0.737958,0.947800
