tipo,f1,f2
nsga2,0.650047,0.999726
nsga2,0.860559,0.990883
nsga2,0.860559,0.990883
nsga2,0.650047,0.999726
nsga2,0.657686,0.999357
nsga2,0.750294,0.999305
nsga2,0.856855,0.991343
nsga2,0.853151,0.992273
nsga2,0.843627,0.993909
nsga2,0.839924,0.994504
nsga2,0.845003,0.993295
nsga2,0.843627,0.993909
nsga2,0.824368,0.995399
nsga2,0.856855,0.991343
nsga2,0.817701,0.996042
nsga2,0.816961,0.996482
nsga2,0.835479,0.995097
nsga2,0.836220,0.994687
nsga2,0.831775,0.995315
nsga2,0.851035,0.992368
nsga2,0.849447,0.992792
nsga2,0.813257,0.996847
nsga2,0.805850,0.997224
nsga2,0.809924,0.996866
nsga2,0.847331,0.992904
nsga2,0.821405,0.995712
nsga2,0.821405,0.995712
nsga2,0.845003,0.993295
nsga2,0.793151,0.997497
nsga2,0.816961,0.996482
nsga2,0.817701,0.996042
nsga2,0.839924,0.994504
nsga2,0.756379,0.999102
nsga2,0.789818,0.997660
nsga2,0.798813,0.997335
nsga2,0.652131,0.999568
nsga2,0.793151,0.997497
nsga2,0.789818,0.997660
nsga2,0.655603,0.999490
nsga2,0.798813,0.997335
nsga2,0.757305,0.998861
nsga2,0.853151,0.992273
nsga2,0.835479,0.995097
nsga2,0.805850,0.997224
nsga2,0.831775,0.995315
nsga2,0.772920,0.998120
nsga2,0.802516,0.997296
nsga2,0.786114,0.997800
nsga2,0.767490,0.998394
nsga2,0.836220,0.994687
nsga2,0.847331,0.992904
nsga2,0.824368,0.995399
nsga2,0.761934,0.998715
nsga2,0.772305,0.998231
nsga2,0.778475,0.997930
nsga2,0.777860,0.998034
nsga2,0.809924,0.996866
nsga2,0.766749,0.998495
nsga2,0.762549,0.998590
nsga2,0.770221,0.998299
nsga2,0.770221,0.998299
nsga2,0.760082,0.998727
nsga2,0.802516,0.997296
nsga2,0.849447,0.992792
nsga2,0.756379,0.999102
nsga2,0.813257,0.996847
nsga2,0.781564,0.997829
nsga2,0.754295,0.999241
nsga2,0.655603,0.999490
nsga2,0.652131,0.999568
nsga2,0.775777,0.998077
nsga2,0.786114,0.997800
nsga2,0.851035,0.992368
nsga2,0.780559,0.997899
nsga2,0.657686,0.999357
nsga2,0.759851,0.998829
nsga2,0.775777,0.998077
nsga2,0.767490,0.998394
nsga2,0.766749,0.998495
nsga2,0.764666,0.998588
nsga2,0.784031,0.997806
nsga2,0.784031,0.997806
nsga2,0.754295,0.999241
nsga2,0.772305,0.998231
nsga2,0.750294,0.999305
nsga2,0.764666,0.998588
nsga2,0.780559,0.997899
nsga2,0.777860,0.998034
nsga2,0.772920,0.998120
nsga2,0.781564,0.997829
nsga2,0.763971,0.998589
nsga2,0.757999,0.998849
nsga2,0.751220,0.999300
nsga2,0.752675,0.999259
nsga2,0.759156,0.998838
nsga2,0.778475,0.997930
nsga2,0.753601,0.999258
nsga2,0.751914,0.999279
nsga2,0.757305,0.998861
nsga2,0.751914,0.999279
nsga2,0.757999,0.998849
nsga2,0.759156,0.998838
nsga2,0.761934,0.998715
nsga2,0.751220,0.999300
nsga2,0.752675,0.999259
nsga2,0.753601,0.999258
nsga2,0.763971,0.998589
nsga2,0.762549,0.998590
nsga2,0.760082,0.998727
nsga2,0.759851,0.998829
nsga2,0.860559,0.990883
nsga2,0.650047,0.999726
nsga2,0.843627,0.993909
nsga2,0.856855,0.991343
nsga2,0.821405,0.995712
nsga2,0.845003,0.993295
nsga2,0.816961,0.996482
nsga2,0.817701,0.996042
nsga2,0.839924,0.994504
nsga2,0.793151,0.997497
nsga2,0.789818,0.997660
nsga2,0.798813,0.997335
nsga2,0.853151,0.992273
nsga2,0.835479,0.995097
nsga2,0.805850,0.997224
nsga2,0.831775,0.995315
nsga2,0.836220,0.994687
nsga2,0.847331,0.992904
nsga2,0.824368,0.995399
nsga2,0.809924,0.996866
nsga2,0.770221,0.998299
nsga2,0.802516,0.997296
nsga2,0.849447,0.992792
nsga2,0.756379,0.999102
nsga2,0.813257,0.996847
nsga2,0.655603,0.999490
nsga2,0.652131,0.999568
nsga2,0.786114,0.997800
nsga2,0.851035,0.992368
nsga2,0.657686,0.999357
nsga2,0.775777,0.998077
nsga2,0.767490,0.998394
nsga2,0.766749,0.998495
nsga2,0.784031,0.997806
nsga2,0.754295,0.999241
nsga2,0.772305,0.998231
nsga2,0.750294,0.999305
nsga2,0.764666,0.998588
nsga2,0.780559,0.997899
nsga2,0.777860,0.998034
greedy,0.705809,0.967413
