tipo,f1,f2
nsga2,0.734993,0.985060
nsga2,0.690452,0.993681
nsga2,0.734993,0.985060
nsga2,0.690452,0.993681
nsga2,0.728302,0.987607
nsga2,0.733159,0.985918
nsga2,0.702847,0.992616
nsga2,0.717427,0.990270
nsga2,0.697772,0.993181
nsga2,0.729969,0.987082
nsga2,0.720134,0.989739
nsga2,0.718336,0.990055
nsga2,0.715836,0.990533
nsga2,0.709057,0.991749
nsga2,0.725374,0.988437
nsga2,0.723622,0.988887
nsga2,0.729981,0.986921
nsga2,0.731552,0.986541
nsga2,0.722493,0.989171
nsga2,0.726945,0.988042
nsga2,0.718847,0.989954
nsga2,0.710174,0.991554
nsga2,0.725374,0.988437
nsga2,0.707116,0.992005
nsga2,0.700643,0.992956
nsga2,0.705360,0.992286
nsga2,0.712427,0.991134
nsga2,0.732683,0.986106
nsga2,0.722826,0.988998
nsga2,0.698500,0.993174
nsga2,0.703679,0.992540
nsga2,0.713677,0.991005
nsga2,0.721481,0.989377
nsga2,0.733993,0.985540
nsga2,0.733493,0.985716
nsga2,0.726159,0.988244
nsga2,0.697153,0.993284
nsga2,0.717987,0.990106
nsga2,0.734420,0.985279
nsga2,0.695034,0.993461
nsga2,0.721993,0.989315
nsga2,0.718847,0.989954
nsga2,0.707533,0.991980
nsga2,0.704319,0.992456
nsga2,0.713261,0.991084
nsga2,0.726945,0.988042
nsga2,0.726159,0.988244
nsga2,0.716854,0.990399
nsga2,0.709460,0.991662
nsga2,0.731326,0.986561
nsga2,0.722039,0.989189
nsga2,0.727445,0.987910
nsga2,0.706789,0.992090
nsga2,0.721064,0.989519
nsga2,0.708389,0.991832
nsga2,0.691939,0.993623
nsga2,0.734159,0.985431
nsga2,0.726278,0.988164
nsga2,0.694225,0.993496
nsga2,0.734680,0.985081
nsga2,0.720707,0.989613
nsga2,0.704801,0.992359
nsga2,0.730469,0.986902
nsga2,0.728799,0.987357
nsga2,0.703679,0.992540
nsga2,0.701560,0.992836
nsga2,0.732778,0.985981
nsga2,0.714094,0.990892
nsga2,0.724195,0.988731
nsga2,0.708389,0.991832
nsga2,0.727445,0.987910
nsga2,0.719481,0.989792
nsga2,0.724874,0.988543
nsga2,0.720707,0.989613
nsga2,0.710604,0.991493
nsga2,0.734659,0.985227
nsga2,0.727883,0.987683
nsga2,0.717009,0.990291
nsga2,0.705911,0.992140
nsga2,0.695510,0.993389
nsga2,0.712330,0.991222
nsga2,0.731945,0.986281
nsga2,0.715569,0.990649
nsga2,0.694225,0.993496
nsga2,0.728778,0.987447
nsga2,0.731136,0.986674
nsga2,0.707793,0.991914
nsga2,0.693463,0.993548
nsga2,0.696487,0.993289
nsga2,0.732362,0.986148
nsga2,0.705360,0.992286
nsga2,0.723921,0.988853
nsga2,0.719658,0.989744
nsga2,0.693463,0.993548
nsga2,0.730778,0.986793
nsga2,0.723205,0.988992
nsga2,0.730778,0.986793
nsga2,0.704319,0.992456
nsga2,0.731886,0.986394
nsga2,0.701560,0.992836
nsga2,0.721064,0.989519
nsga2,0.699929,0.993028
nsga2,0.724588,0.988642
nsga2,0.727778,0.987794
nsga2,0.733670,0.985618
nsga2,0.691262,0.993640
nsga2,0.691262,0.993640
nsga2,0.716296,0.990481
nsga2,0.715122,0.990713
nsga2,0.719481,0.989792
nsga2,0.699929,0.993028
nsga2,0.696106,0.993341
nsga2,0.704801,0.992359
nsga2,0.699424,0.993065
nsga2,0.702250,0.992744
nsga2,0.709185,0.991693
nsga2,0.728778,0.987447
nsga2,0.733493,0.985716
nsga2,0.692796,0.993580
nsga2,0.729372,0.987212
nsga2,0.724874,0.988543
nsga2,0.729372,0.987212
nsga2,0.717987,0.990106
nsga2,0.716296,0.990481
nsga2,0.731886,0.986394
nsga2,0.692119,0.993596
nsga2,0.698500,0.993174
nsga2,0.702563,0.992712
nsga2,0.701000,0.992877
nsga2,0.731136,0.986674
nsga2,0.699281,0.993069
nsga2,0.711819,0.991308
nsga2,0.711819,0.991308
nsga2,0.709914,0.991619
nsga2,0.711008,0.991407
nsga2,0.729445,0.987161
nsga2,0.702250,0.992744
nsga2,0.715211,0.990676
nsga2,0.728799,0.987357
nsga2,0.706133,0.992119
nsga2,0.734326,0.985394
nsga2,0.700710,0.992925
nsga2,0.714533,0.990828
nsga2,0.714094,0.990892
nsga2,0.724588,0.988642
nsga2,0.692796,0.993580
nsga2,0.726278,0.988164
nsga2,0.711461,0.991364
nsga2,0.732326,0.986218
nsga2,0.721481,0.989377
greedy,0.698018,0.941222
