tipo,f1,f2
nsga2,0.740424,0.991734
nsga2,0.698440,0.997768
nsga2,0.698440,0.997768
nsga2,0.740424,0.991734
nsga2,0.723516,0.995849
nsga2,0.739498,0.992108
nsga2,0.735646,0.993270
nsga2,0.725831,0.995443
nsga2,0.739535,0.991906
nsga2,0.713716,0.996840
nsga2,0.699922,0.997724
nsga2,0.707362,0.997264
nsga2,0.732405,0.994117
nsga2,0.710350,0.997087
nsga2,0.724442,0.995721
nsga2,0.731757,0.994276
nsga2,0.715424,0.996735
nsga2,0.738387,0.992531
nsga2,0.716535,0.996666
nsga2,0.717142,0.996600
nsga2,0.737498,0.992706
nsga2,0.713359,0.996897
nsga2,0.737461,0.992830
nsga2,0.720979,0.996174
nsga2,0.726479,0.995367
nsga2,0.731202,0.994377
nsga2,0.712433,0.996959
nsga2,0.708483,0.997164
nsga2,0.711414,0.997026
nsga2,0.710502,0.997041
nsga2,0.736720,0.992981
nsga2,0.738609,0.992281
nsga2,0.728979,0.994869
nsga2,0.701181,0.997668
nsga2,0.722924,0.995884
nsga2,0.734498,0.993672
nsga2,0.708220,0.997222
nsga2,0.726294,0.995411
nsga2,0.735146,0.993457
nsga2,0.735424,0.993407
nsga2,0.735609,0.993354
nsga2,0.704728,0.997472
nsga2,0.703839,0.997527
nsga2,0.739683,0.991880
nsga2,0.731757,0.994276
nsga2,0.707922,0.997253
nsga2,0.711613,0.996979
nsga2,0.709331,0.997158
nsga2,0.706858,0.997321
nsga2,0.703880,0.997486
nsga2,0.705839,0.997400
nsga2,0.715105,0.996779
nsga2,0.724813,0.995617
nsga2,0.736998,0.992891
nsga2,0.716720,0.996616
nsga2,0.714470,0.996834
nsga2,0.732405,0.994117
nsga2,0.712433,0.996959
nsga2,0.709576,0.997117
nsga2,0.737646,0.992664
nsga2,0.734035,0.993776
nsga2,0.737831,0.992554
nsga2,0.738572,0.992405
nsga2,0.736072,0.993193
nsga2,0.720290,0.996242
nsga2,0.730924,0.994450
nsga2,0.705139,0.997425
nsga2,0.727868,0.995055
nsga2,0.717739,0.996499
nsga2,0.727776,0.995143
nsga2,0.734072,0.993692
nsga2,0.734535,0.993588
nsga2,0.722591,0.995971
nsga2,0.730739,0.994460
nsga2,0.738387,0.992412
nsga2,0.725553,0.995531
nsga2,0.733572,0.993861
nsga2,0.700292,0.997714
nsga2,0.736572,0.993007
nsga2,0.702950,0.997569
nsga2,0.702950,0.997569
nsga2,0.727368,0.995171
nsga2,0.728294,0.994972
nsga2,0.721720,0.996074
nsga2,0.716031,0.996713
nsga2,0.728702,0.994943
nsga2,0.739683,0.991880
nsga2,0.727220,0.995249
nsga2,0.736535,0.993091
nsga2,0.739313,0.992155
nsga2,0.717646,0.996553
nsga2,0.739313,0.992155
nsga2,0.706117,0.997338
nsga2,0.701218,0.997621
nsga2,0.719364,0.996323
nsga2,0.702292,0.997588
nsga2,0.733572,0.993861
nsga2,0.721720,0.996074
nsga2,0.738757,0.992256
nsga2,0.725183,0.995600
nsga2,0.718846,0.996375
nsga2,0.718572,0.996422
nsga2,0.719364,0.996323
nsga2,0.736072,0.993193
nsga2,0.728146,0.995048
nsga2,0.726850,0.995304
nsga2,0.736350,0.993104
nsga2,0.729591,0.994752
nsga2,0.722183,0.996017
nsga2,0.734961,0.993510
nsga2,0.730553,0.994542
nsga2,0.713359,0.996897
nsga2,0.702292,0.997577
nsga2,0.732831,0.994057
nsga2,0.731479,0.994348
nsga2,0.722183,0.996017
nsga2,0.733294,0.993932
nsga2,0.733109,0.994005
nsga2,0.719868,0.996279
nsga2,0.729165,0.994835
nsga2,0.725553,0.995531
nsga2,0.726850,0.995304
nsga2,0.721257,0.996142
nsga2,0.729998,0.994645
nsga2,0.723757,0.995748
nsga2,0.729628,0.994698
nsga2,0.714683,0.996788
nsga2,0.738757,0.992256
nsga2,0.737683,0.992580
nsga2,0.723665,0.995757
nsga2,0.734961,0.993510
nsga2,0.719868,0.996279
nsga2,0.718068,0.996467
nsga2,0.736998,0.992891
nsga2,0.729998,0.994645
nsga2,0.732831,0.994057
nsga2,0.700292,0.997714
nsga2,0.721257,0.996142
nsga2,0.733294,0.993932
nsga2,0.701700,0.997616
nsga2,0.720475,0.996217
nsga2,0.699922,0.997724
nsga2,0.730331,0.994590
nsga2,0.729165,0.994835
nsga2,0.716031,0.996713
nsga2,0.722591,0.995971
nsga2,0.718068,0.996467
nsga2,0.718846,0.996375
nsga2,0.701700,0.997616
nsga2,0.734035,0.993776
greedy,0.737958,0.947800
