tipo,f1,f2
nsga2,0.856561,0.987814
nsga2,0.743069,0.998314
nsga2,0.856561,0.987814
nsga2,0.743069,0.998314
nsga2,0.845450,0.988055
nsga2,0.843862,0.989299
nsga2,0.829048,0.990963
nsga2,0.832751,0.989842
nsga2,0.813492,0.992027
nsga2,0.812381,0.992902
nsga2,0.836455,0.989442
nsga2,0.801270,0.994195
nsga2,0.744974,0.998143
nsga2,0.779048,0.996502
nsga2,0.754180,0.997785
nsga2,0.756085,0.997660
nsga2,0.765291,0.997355
nsga2,0.817937,0.991859
nsga2,0.804974,0.993545
nsga2,0.793862,0.995014
nsga2,0.796825,0.994521
nsga2,0.807937,0.993123
nsga2,0.821640,0.991342
nsga2,0.804974,0.993545
nsga2,0.780106,0.995934
nsga2,0.832751,0.989842
nsga2,0.786455,0.995448
nsga2,0.824603,0.991025
nsga2,0.774603,0.997041
nsga2,0.793862,0.995014
nsga2,0.789418,0.995411
nsga2,0.801270,0.994195
nsga2,0.821640,0.991342
nsga2,0.782011,0.995915
nsga2,0.779048,0.996502
nsga2,0.796825,0.994521
nsga2,0.767196,0.997276
nsga2,0.772698,0.997090
nsga2,0.744974,0.998143
nsga2,0.754180,0.997785
nsga2,0.817937,0.991859
nsga2,0.807937,0.993123
nsga2,0.836455,0.989442
nsga2,0.765291,0.997355
nsga2,0.756085,0.997660
nsga2,0.774603,0.997041
nsga2,0.789418,0.995411
nsga2,0.786455,0.995448
nsga2,0.782011,0.995915
nsga2,0.829048,0.990963
nsga2,0.845450,0.988055
nsga2,0.772698,0.997090
nsga2,0.767196,0.997276
nsga2,0.824603,0.991025
nsga2,0.812381,0.992902
nsga2,0.843862,0.989299
nsga2,0.813492,0.992027
nsga2,0.780106,0.995934
nsga2,0.743069,0.998314
nsga2,0.856561,0.987814
nsga2,0.804974,0.993545
nsga2,0.832751,0.989842
nsga2,0.793862,0.995014
nsga2,0.801270,0.994195
nsga2,0.821640,0.991342
nsga2,0.779048,0.996502
nsga2,0.796825,0.994521
nsga2,0.744974,0.998143
nsga2,0.754180,0.997785
nsga2,0.817937,0.991859
nsga2,0.807937,0.993123
nsga2,0.836455,0.989442
nsga2,0.765291,0.997355
nsga2,0.756085,0.997660
nsga2,0.774603,0.997041
nsga2,0.789418,0.995411
nsga2,0.786455,0.995448
nsga2,0.782011,0.995915
nsga2,0.829048,0.990963
nsga2,0.845450,0.988055
nsga2,0.772698,0.997090
nsga2,0.767196,0.997276
nsga2,0.824603,0.991025
nsga2,0.812381,0.992902
nsga2,0.843862,0.989299
nsga2,0.813492,0.992027
nsga2,0.780106,0.995934
nsga2,0.856561,0.987814
nsga2,0.743069,0.998314
nsga2,0.804974,0.993545
nsga2,0.832751,0.989842
nsga2,0.793862,0.995014
nsga2,0.801270,0.994195
nsga2,0.821640,0.991342
nsga2,0.779048,0.996502
nsga2,0.796825,0.994521
nsga2,0.744974,0.998143
nsga2,0.754180,0.997785
nsga2,0.817937,0.991859
nsga2,0.807937,0.993123
nsga2,0.836455,0.989442
nsga2,0.765291,0.997355
nsga2,0.756085,0.997660
nsga2,0.774603,0.997041
nsga2,0.789418,0.995411
nsga2,0.786455,0.995448
nsga2,0.782011,0.995915
nsga2,0.829048,0.990963
nsga2,0.845450,0.988055
nsga2,0.772698,0.997090
nsga2,0.767196,0.997276
nsga2,0.824603,0.991025
nsga2,0.812381,0.992902
nsga2,0.843862,0.989299
nsga2,0.813492,0.992027
nsga2,0.780106,0.995934
nsga2,0.856561,0.987814
nsga2,0.743069,0.998314
nsga2,0.804974,0.993545
nsga2,0.832751,0.989842
nsga2,0.793862,0.995014
nsga2,0.801270,0.994195
nsga2,0.821640,0.991342
nsga2,0.779048,0.996502
nsga2,0.796825,0.994521
nsga2,0.744974,0.998143
nsga2,0.754180,0.997785
nsga2,0.817937,0.991859
nsga2,0.807937,0.993123
nsga2,0.836455,0.989442
nsga2,0.765291,0.997355
nsga2,0.756085,0.997660
nsga2,0.774603,0.997041
nsga2,0.789418,0.995411
nsga2,0.786455,0.995448
nsga2,0.782011,0.995915
nsga2,0.829048,0.990963
nsga2,0.845450,0.988055
nsga2,0.772698,0.997090
nsga2,0.767196,0.997276
nsga2,0.824603,0.991025
nsga2,0.812381,0.992902
nsga2,0.843862,0.989299
nsga2,0.813492,0.992027
nsga2,0.780106,0.995934
nsga2,0.856561,0.987814
nsga2,0.743069,0.998314
nsga2,0.804974,0.993545
nsga2,0.832751,0.989842
nsga2,0.793862,0.995014
greedy,0.705809,0.967413
