tipo,f1,f2
nsga2,0.733398,0.990462
nsga2,0.702787,0.997365
nsga2,0.702787,0.997365
nsga2,0.733398,0.990462
nsga2,0.732398,0.990870
nsga2,0.732009,0.991133
nsga2,0.732287,0.990870
nsga2,0.730157,0.991993
nsga2,0.729694,0.992180
nsga2,0.731546,0.991317
nsga2,0.729694,0.992180
nsga2,0.726194,0.993465
nsga2,0.728046,0.992826
nsga2,0.731546,0.991317
nsga2,0.730157,0.991757
nsga2,0.726454,0.993262
nsga2,0.710422,0.996700
nsga2,0.728306,0.992624
nsga2,0.719694,0.995152
nsga2,0.726843,0.993233
nsga2,0.728694,0.992596
nsga2,0.722644,0.994390
nsga2,0.719218,0.995336
nsga2,0.720329,0.995088
nsga2,0.729157,0.992408
nsga2,0.727583,0.993015
nsga2,0.731009,0.991544
nsga2,0.732009,0.991133
nsga2,0.728046,0.992826
nsga2,0.721533,0.994744
nsga2,0.705380,0.997217
nsga2,0.721533,0.994744
nsga2,0.723139,0.994369
nsga2,0.732398,0.990870
nsga2,0.708046,0.996944
nsga2,0.722491,0.994496
nsga2,0.703422,0.997337
nsga2,0.724343,0.994032
nsga2,0.722028,0.994611
nsga2,0.704269,0.997310
nsga2,0.720792,0.994971
nsga2,0.721070,0.994860
nsga2,0.725731,0.993466
nsga2,0.723880,0.994035
nsga2,0.714509,0.996093
nsga2,0.723602,0.994255
nsga2,0.727194,0.993044
nsga2,0.725454,0.993685
nsga2,0.729046,0.992409
nsga2,0.730898,0.991544
nsga2,0.730546,0.991730
nsga2,0.713755,0.996271
nsga2,0.715620,0.995913
nsga2,0.724991,0.993797
nsga2,0.717829,0.995574
nsga2,0.718478,0.995440
nsga2,0.730157,0.991993
nsga2,0.707015,0.997081
nsga2,0.709787,0.996777
nsga2,0.709681,0.996818
nsga2,0.713120,0.996344
nsga2,0.713015,0.996384
nsga2,0.718583,0.995402
nsga2,0.724602,0.993829
nsga2,0.720792,0.994971
nsga2,0.716454,0.995748
nsga2,0.721070,0.994860
nsga2,0.716996,0.995736
nsga2,0.723602,0.994255
nsga2,0.722181,0.994505
nsga2,0.705269,0.997253
nsga2,0.725454,0.993685
nsga2,0.704903,0.997284
nsga2,0.706380,0.997162
nsga2,0.706015,0.997193
nsga2,0.725731,0.993577
nsga2,0.723880,0.994146
nsga2,0.709046,0.996895
nsga2,0.708681,0.996924
nsga2,0.715607,0.995980
nsga2,0.719681,0.995218
nsga2,0.715144,0.996022
nsga2,0.704269,0.997310
nsga2,0.703422,0.997337
nsga2,0.719218,0.995336
nsga2,0.712380,0.996457
nsga2,0.724343,0.993922
nsga2,0.720329,0.995088
nsga2,0.722028,0.994611
nsga2,0.706380,0.997162
nsga2,0.709046,0.996895
nsga2,0.712380,0.996457
nsga2,0.717843,0.995507
nsga2,0.710533,0.996613
nsga2,0.714231,0.996160
nsga2,0.714866,0.996089
nsga2,0.717194,0.995641
nsga2,0.707120,0.997040
nsga2,0.716361,0.995804
nsga2,0.717089,0.995680
nsga2,0.724991,0.993797
nsga2,0.710898,0.996586
nsga2,0.710903,0.996561
nsga2,0.712015,0.996483
nsga2,0.727583,0.993015
nsga2,0.711533,0.996511
nsga2,0.707570,0.997009
nsga2,0.723139,0.994369
nsga2,0.729157,0.992408
nsga2,0.731009,0.991544
nsga2,0.719681,0.995218
nsga2,0.715978,0.995857
nsga2,0.707935,0.996980
nsga2,0.730435,0.991730
nsga2,0.707570,0.997009
nsga2,0.710435,0.996633
nsga2,0.713769,0.996204
nsga2,0.712015,0.996483
nsga2,0.726843,0.993233
nsga2,0.723880,0.994146
nsga2,0.725731,0.993577
nsga2,0.717459,0.995616
nsga2,0.704903,0.997284
nsga2,0.728694,0.992596
nsga2,0.718107,0.995482
nsga2,0.706015,0.997193
nsga2,0.711269,0.996534
nsga2,0.715144,0.996022
nsga2,0.707015,0.997081
nsga2,0.708681,0.996924
nsga2,0.717459,0.995616
nsga2,0.713866,0.996185
nsga2,0.718107,0.995482
nsga2,0.716255,0.995843
nsga2,0.709681,0.996818
nsga2,0.709787,0.996777
nsga2,0.713015,0.996384
nsga2,0.713120,0.996344
nsga2,0.715978,0.995857
nsga2,0.724343,0.993922
nsga2,0.724602,0.993829
nsga2,0.718583,0.995402
nsga2,0.726454,0.993262
nsga2,0.711533,0.996511
nsga2,0.714231,0.996160
nsga2,0.728306,0.992624
nsga2,0.711269,0.996534
nsga2,0.727194,0.993044
nsga2,0.729046,0.992409
nsga2,0.730546,0.991730
greedy,0.737958,0.947800
