tipo,f1,f2
nsga2,0.720507,0.991679
nsga2,0.689645,0.996538
nsga2,0.689645,0.996538
nsga2,0.720507,0.991679
nsga2,0.716645,0.992288
nsga2,0.716063,0.992725
nsga2,0.714211,0.993015
nsga2,0.707174,0.994241
nsga2,0.712822,0.993172
nsga2,0.695201,0.995884
nsga2,0.698816,0.995580
nsga2,0.718656,0.991952
nsga2,0.693503,0.996093
nsga2,0.702057,0.995041
nsga2,0.699059,0.995482
nsga2,0.709952,0.993710
nsga2,0.695818,0.995870
nsga2,0.696965,0.995764
nsga2,0.697670,0.995682
nsga2,0.714917,0.992787
nsga2,0.719978,0.991727
nsga2,0.705322,0.994565
nsga2,0.712730,0.993313
nsga2,0.717174,0.992237
nsga2,0.702983,0.994931
nsga2,0.708656,0.993927
nsga2,0.717267,0.992097
nsga2,0.717730,0.992032
nsga2,0.709489,0.993782
nsga2,0.700626,0.995263
nsga2,0.700205,0.995384
nsga2,0.709119,0.993783
nsga2,0.710878,0.993615
nsga2,0.705878,0.994347
nsga2,0.711583,0.993382
nsga2,0.719361,0.991730
nsga2,0.693261,0.996194
nsga2,0.706645,0.994303
nsga2,0.710349,0.993673
nsga2,0.694650,0.995981
nsga2,0.711341,0.993474
nsga2,0.714674,0.992877
nsga2,0.690880,0.996477
nsga2,0.707267,0.994100
nsga2,0.692732,0.996271
nsga2,0.694121,0.996057
nsga2,0.719119,0.991818
nsga2,0.696435,0.995837
nsga2,0.698287,0.995652
nsga2,0.691497,0.996328
nsga2,0.699676,0.995453
nsga2,0.697053,0.995694
nsga2,0.711341,0.993474
nsga2,0.714674,0.992877
nsga2,0.694650,0.995981
nsga2,0.705785,0.994418
nsga2,0.719119,0.991818
nsga2,0.703933,0.994747
nsga2,0.701156,0.995194
nsga2,0.691409,0.996398
nsga2,0.712201,0.993369
nsga2,0.717730,0.992032
nsga2,0.718656,0.991952
nsga2,0.702544,0.995004
nsga2,0.715534,0.992778
nsga2,0.701594,0.995120
nsga2,0.701594,0.995120
nsga2,0.707483,0.994041
nsga2,0.716063,0.992725
nsga2,0.705785,0.994418
nsga2,0.716645,0.992288
nsga2,0.708168,0.993957
nsga2,0.710507,0.993616
nsga2,0.713724,0.993040
nsga2,0.704396,0.994670
nsga2,0.703007,0.994855
nsga2,0.703933,0.994747
nsga2,0.701156,0.995194
nsga2,0.713285,0.993104
nsga2,0.708100,0.994023
nsga2,0.690263,0.996517
nsga2,0.705322,0.994565
nsga2,0.713285,0.993104
nsga2,0.700205,0.995384
nsga2,0.700626,0.995263
nsga2,0.692114,0.996308
nsga2,0.703404,0.994813
nsga2,0.706645,0.994303
nsga2,0.704793,0.994629
nsga2,0.703404,0.994813
nsga2,0.704793,0.994629
nsga2,0.690880,0.996477
nsga2,0.692732,0.996271
nsga2,0.694121,0.996057
nsga2,0.690263,0.996517
nsga2,0.692114,0.996308
nsga2,0.696435,0.995837
nsga2,0.707730,0.994026
nsga2,0.693261,0.996194
nsga2,0.704396,0.994670
greedy,0.737958,0.947800
