tipo,f1,f2
nsga2,0.710234,0.995215
nsga2,0.787600,0.983741
nsga2,0.787600,0.983741
nsga2,0.710234,0.995215
nsga2,0.765864,0.988715
nsga2,0.729697,0.993424
nsga2,0.763100,0.989115
nsga2,0.728431,0.993991
nsga2,0.722753,0.994380
nsga2,0.744321,0.992093
nsga2,0.712012,0.995037
nsga2,0.754423,0.990764
nsga2,0.765896,0.988118
nsga2,0.740294,0.992490
nsga2,0.775452,0.986628
nsga2,0.734950,0.993269
nsga2,0.748766,0.991607
nsga2,0.761896,0.989450
nsga2,0.740294,0.992490
nsga2,0.757642,0.990254
nsga2,0.779155,0.985888
nsga2,0.784711,0.984802
nsga2,0.736209,0.992976
nsga2,0.751460,0.991251
nsga2,0.768933,0.988077
nsga2,0.778044,0.986313
nsga2,0.782489,0.985331
nsga2,0.716086,0.994893
nsga2,0.751460,0.991251
nsga2,0.785822,0.984371
nsga2,0.747047,0.991624
nsga2,0.760309,0.989703
nsga2,0.719191,0.994700
nsga2,0.725635,0.994135
nsga2,0.755090,0.990460
nsga2,0.782933,0.984861
nsga2,0.719191,0.994700
nsga2,0.772489,0.987282
nsga2,0.771007,0.987674
nsga2,0.785822,0.984371
nsga2,0.736209,0.992976
nsga2,0.779822,0.985655
nsga2,0.760309,0.989703
nsga2,0.771007,0.987674
nsga2,0.780214,0.985386
nsga2,0.716086,0.994893
nsga2,0.757642,0.990254
nsga2,0.772489,0.987282
nsga2,0.774711,0.986900
nsga2,0.725451,0.994320
greedy,0.737958,0.947800
